complex_name,complex_type,resident_current,active_current,production_current,production_change_rate,export_current,export_change_rate,operation_rate_current
서울,국가,15333.0,14027.0,43189.48017300196,4.486364240899152,685.0876619042494,2.463946186829637,80.13832334472526
녹산,국가,1600.0,1297.0,36600.15074623267,11.50583139697574,1082.547,-5.578436708463284,75.67902244861715
대구,국가,317.0,227.0,16636.053333333333,0.0150499041595691,895.3046666666667,-0.1082257522247548,95.61704870192818
남동,국가,8091.0,7771.0,82394.38077039627,-1.6995368934115442,1290.9924867132866,39.390513197639024,73.3211134539782
부평,국가,1877.0,1870.0,8452.740295454543,-4.836572916958698,268.03703446969706,-3.886192749544185,78.10232582965452
주안,국가,1484.0,1480.0,14926.51733333333,11.601329743894912,446.583,33.28335929032219,78.4529195780501
광주첨단,국가,2736.0,2397.0,11820.59,-44.08085542559523,378.107,-62.00689510339137,83.48272251678665
빛그린,국가,167.0,120.0,849.23,-6.476071957578721,5.8275,4.839435099397305,65.47017442420739
온산,국가,405.0,252.0,185019.54205058585,5.677877641754304,3451.7668069999995,-24.669435230851917,88.2749930689922
울산ㆍ미포,국가,1143.0,681.0,488288.47848691227,9.10043801316306,18202.42142566983,8.082116286265531,93.73391494239178
반월,국가,9506.0,9316.0,91019.46250289676,-2.388831082556788,1733.2229272818563,0.0712316298330229,80.20388927070735
용인첨단시스템반도체,,0.0,0.0,,,,,
시화,국가,11348.0,11200.0,81129.51410516154,2.017068724121333,785.7058551107498,0.5925997689716989,75.36759008960338
시화MTV,국가,1389.0,1369.0,13008.302692307692,2.062739537470155,268.1719487179487,-0.627547221104593,82.74623127195932
송산그린시티,,99.0,0.0,,,,,
파주탄현,국가,48.0,45.0,164.82,-6.73117731941262,0.891,-14.409221902017284,78.515625
동두천,,0.0,0.0,,,,,
북평,국가,56.0,33.0,108.588,-20.75199054173387,0.105,2.941176470588238,66.47241028905839
오송생명과학,국가,74.0,72.0,9230.398,2.1558266263491284,179.782,-7.529631542239215,82.77087731374083
석문,국가,228.0,118.0,3377.575,9.158087457036618,17.9745,-7.481470043236575,85.40540118220356
아산,국가,407.0,376.0,45061.6635,-1.7158929687198718,789.6019,-2.8776964258807616,81.26901352609309
장항생태,국가,52.0,36.0,1090.24,29.400733505038403,10.231,1837.6893939393935,83.21426390669842
국가식품클러스터,국가,227.0,138.0,1223.9363999999996,-1.887953427061938,13.08612,-21.4050623180189,71.88815595183807
국가식품클러스터(외),국가,1.0,1.0,,,,,
군산,국가,196.0,184.0,9695.825,1.8788989398981453,316.03,18.230452674897105,80.80426530212557
군산2,국가,606.0,575.0,10907.424523809525,9.019216490723744,100.877,-13.302393537020333,79.0345832499834
익산,국가,325.0,266.0,5146.3875,3.918246769079483,120.2765,10.032979750158953,77.20860017440388
광양,국가,200.0,169.0,51225.34333333332,4.702666519047162,1905.49,22.06174287531701,80.68631659549551
대불,국가,365.0,319.0,5123.791857142857,-3.3430102944091336,37.60571428571429,-8.59690485036406,70.73243983228781
대불(외),국가,31.0,27.0,617.7080000000001,-40.093258178517246,0.0,,47.15781823289874
여수,국가,324.0,291.0,229272.119,20.023314501634243,7422.14235,2.7968994379463763,82.36214044059483
구미,국가,3054.0,2401.0,115247.82255962733,-0.5297535276413716,4455.243306459627,-0.3576981993231291,64.33221554023343
구미(외),국가,24.0,23.0,4795.09,-3.891374237358789,169.1491,10.022043552439774,71.71032265300782
포항,국가,104.0,94.0,36554.4645,7.190630530740381,850.24063,5.775972940360492,84.07522168825197
포항블루밸리,국가,41.0,20.0,173.4,0.046157396722832,0.1,,82.07506981587542
경남항공,국가,0.0,0.0,,,,,
밀양나노,국가,16.0,6.0,2863.74,97.08068378891733,185.005,98.73137615073098,75.49468800253078
안정,국가,12.0,10.0,1588.33,10.645693864898185,0.0,,95.12780892146998
진해,국가,3.0,3.0,,,,,
창원,국가,3320.0,2860.0,157499.02140808082,2.7278775847723065,4374.454444571041,0.6556876136178202,80.30305855379044
계,,65209.0,60074.0,1767986.24107161,5.651648454828194,50664.01487885066,1.46409358935031,82.74947446523664
* 입주업체 : 산업단지 관리기관과 입주계약을 체결한 기업,,,,,,,,
* 가동업체 : 입주계약을 체결하여 조사 시점에 정상적인 생산활동을 영위하는 업체,,,,,,,,
* 임차업체는 입주업체에 포함,,,,,,,,
